,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,slopes,slopes20,slopess1p,slopes20s1p,vol_gt2,macdh_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,last_max_20s1,last_min_20s1,cum_max,cum_maxs1,cum_min,cum_mins1,cum_min_mins,cum_max_maxs,max_Close_x,max_Close_fill,min_Close,min_Close_fill,buy_price,Buy,Buy_zero,Buy_count_tmp,Buy_count,Buy_count_compare,Sell,Sell_zero,Sell_count_tmp,Sell_count,max_Close_y,Buy,Sell
217,2022-08-31 13:40:00,12457.5,12457.5,12457.5,12457.5,30422.0,2.597048455500044,-0.30914163034205,2.906190085842094,47.224054681355895,0,0,12463.375,12460.7375,12456.49,22.767645244548838,26.262701585101322,49.214178522734045,34.4975516889872,y,n,n,y,n,n,12473.25,12450.75,12473.25,12473.25,12407.25,12407.25,nan,nan,12458.75,12458.75,12456.0,12456.0,NaN,NaN,0,0,1,,,,1,218,12458.75,NaN,NaN
218,2022-08-31 13:41:00,12456.75,12456.75,12456.75,12456.75,30472.0,1.9697842530658818,-0.7491246662209696,2.7189089192868514,46.23318463884992,0,0,12463.45,12460.725,12456.34,-23.428692808745403,20.678693662853803,22.767645244548838,26.262701585101322,y,n,n,y,n,n,12473.25,12455.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,NaN,NaN,0,0,1,,,,1,219,,NaN,NaN
219,2022-08-31 13:42:00,12456.5,12456.5,12456.5,12456.5,30526.0,1.435947236877837,-1.0263693459272116,2.4623165828050486,45.8875543724924,0,0,12463.4,12460.7,12456.215,-51.170175095029606,14.481368139808414,-23.428692808745403,20.678693662853803,y,y,n,y,n,n,12473.25,12455.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,NaN,NaN,0,0,1,,,,1,220,,NaN,NaN
220,2022-08-31 13:43:00,12458.75,12458.75,12458.75,12458.75,30618.0,1.1808219707836543,-1.0251956896171155,2.2060176604007697,49.54351995933266,0,0,12463.275,12460.8875,12456.14,-59.865909091658,7.99284734686291,-51.170175095029606,14.481368139808414,y,y,n,y,n,n,12473.25,12455.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,12458.75,12458.75,12458.75,1,2,1.0,,,1,221,,12458.75,NaN
221,2022-08-31 13:44:00,12457.25,12457.25,12457.25,12457.25,30666.0,0.8478227227515163,-1.0865559501194029,1.9343786728709191,47.251522320477804,0,0,12462.5,12460.9,12456.085,-62.686725581703,1.5504846201281761,-59.865909091658,7.99284734686291,n,y,n,y,n,n,12473.25,12456.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,NaN,NaN,0,0,2,,,,1,222,,NaN,NaN
222,2022-08-31 13:45:00,12456.0,12456.0,12456.0,12456.0,30718.0,0.4775489788771665,-1.165463755195002,1.6430127340721685,45.36795999372008,0,0,12460.925,12460.85,12456.045,-59.1507585309924,-5.96639520087764,-62.686725581703,1.5504846201281761,n,y,n,y,n,n,12473.25,12456.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,NaN,NaN,0,0,2,,,,1,223,,NaN,NaN
223,2022-08-31 13:46:00,12457.5,12457.5,12457.5,12457.5,30746.0,0.30166443334746873,-1.0730786405797599,1.3747430739272286,48.044429138252646,0,0,12459.35,12460.725,12456.075,-46.10661591948866,-9.413414170810926,-59.1507585309924,-5.96639520087764,n,y,n,y,n,n,12473.25,12456.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,NaN,NaN,0,0,2,,,,1,224,,NaN,NaN
224,2022-08-31 13:47:00,12457.5,12457.5,12457.5,12457.5,30814.0,0.16042537991779682,-0.9714541552075455,1.1318795351253423,48.044429138252646,0,0,12458.275,12460.55,12456.115,-28.677322947159755,-11.723553497647494,-46.10661591948866,-9.413414170810926,n,n,n,y,n,n,12473.25,12456.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,NaN,NaN,0,0,2,,,,1,225,,NaN,NaN
225,2022-08-31 13:48:00,12457.5,12457.5,12457.5,12457.5,30852.0,0.047939792415490956,-0.8671517941678811,0.9150915865833721,48.04442913825265,0,0,12457.45,12460.3875,12456.19,-5.194428907734806,-13.924689367609727,-28.677322947159755,-11.723553497647494,n,n,n,y,n,n,12473.25,12456.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,NaN,NaN,0,0,2,,,,1,226,,NaN,NaN
226,2022-08-31 13:49:00,12458.25,12458.25,12458.25,12458.25,30869.0,0.01909279602841707,-0.716799032443964,0.7358918284723811,49.58678046492457,0,0,12457.35,12460.3375,12456.285,4.1596422937126425,-16.511328280980546,-5.194428907734806,-13.924689367609727,n,n,n,y,n,n,12473.25,12456.0,12473.25,12473.25,12407.25,12407.25,nan,nan,,12458.75,,12456.0,NaN,NaN,0,0,2,,,,1,227,,NaN,NaN
