,Datetime,bs_test,bss1,bss2,Open,High,Low,Close,Volume,uptrend,bar_no,buysell,ret,count_no,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30
183,2023-03-23 23:06:00,,,,12858.75,12859.25,12857.5,12857.75,107,True,1.0,,,183,0.7044114613890997,-0.6370181473694558,1.3414296087585555,46.81131810331177,0,0
184,2023-03-23 23:08:00,,,,12857.5,12857.5,12855.0,12856.25,214,True,1.0,,,184,0.3591912943520583,-0.7857906515251978,1.144981945877256,43.80172600092031,0,0
185,2023-03-23 23:10:00,,,,12856.25,12856.75,12855.0,12855.25,60,True,1.0,,,185,0.004854225653616595,-0.9121021761789116,0.9169564018325282,41.8691170134772,0,0
186,2023-03-23 23:12:00,,,,12855.5,12856.25,12853.25,12856.0,268,True,1.0,,,186,-0.21298654583915777,-0.9039543581373488,0.690967812298191,43.86943095805016,0,0
187,2023-03-23 23:14:00,,,,12856.0,12857.75,12856.0,12857.5,132,True,1.0,,,187,-0.2615741981953761,-0.7620336083948537,0.5004594101994776,47.742494288906265,0,0
188,2023-03-23 23:16:00,,,,12857.5,12858.0,12856.5,12857.5,87,True,1.0,,,188,-0.29666054464905756,-0.6376959638788282,0.3410354192297706,47.742494288906265,0,0
189,2023-03-23 23:18:00,,,,12857.5,12858.25,12856.25,12857.0,101,True,1.0,,,189,-0.3606551403645426,-0.5613524476754506,0.20069730731090799,46.50205528497883,0,0
190,2023-03-23 23:20:00,,,,12857.0,12857.75,12855.5,12857.5,168,True,1.0,,,190,-0.3667972864041076,-0.45399567497201243,0.08719838856790488,47.95820901248832,0,0
191,2023-03-23 23:22:00,,,,12856.75,12859.0,12855.75,12857.5,234,True,1.0,,,191,-0.3674294830289,-0.3637022972774439,-0.0037271857514560996,47.95820901248832,0,0
192,2023-03-23 23:24:00,,,,12857.5,12860.5,12857.5,12859.25,107,True,1.0,,,192,-0.22413642359970254,-0.17632739027859715,-0.04780903332110539,53.13602553974205,0,0
193,2023-03-23 23:26:00,,,,12858.75,12861.0,12858.5,12860.0,91,True,1.0,,,193,-0.04948646052980621,-0.001341941766960647,-0.04814451876284556,55.193540264645065,0,0
194,2023-03-23 23:28:00,,,,12860.0,12861.75,12859.25,12860.75,121,True,1.0,,,194,0.1477405642181111,0.15670806638476534,-0.008967502166654227,57.21640032461197,0,0
195,2023-03-23 23:30:00,,,,12860.5,12863.25,12859.75,12862.75,183,True,1.0,,,195,0.4601236683465686,0.37527293641057824,0.08485073193599034,62.12673778029527,0,0
196,2023-03-23 23:32:00,,,,12863.0,12863.25,12860.5,12861.25,95,True,1.0,,,196,0.5799665713711875,0.3960926715481577,0.18387389982302976,56.85616819614929,0,0
197,2023-03-23 23:34:00,,,,12860.75,12862.0,12860.25,12860.75,51,True,1.0,,,197,0.6273652381714783,0.3547930706787588,0.27257216749271945,55.1758502544823,0,0
198,2023-03-23 23:36:00,,,,12861.0,12862.25,12861.0,12861.25,83,True,1.0,,,198,0.6972375242585258,0.33973228541264505,0.35750523884588076,56.558472834025096,0,0
199,2023-03-23 23:38:00,,,,12861.0,12863.75,12860.75,12863.25,108,True,1.0,,,199,0.9035792011163721,0.43685916981639306,0.4667200312999791,61.65366037398672,0,0
200,2023-03-23 23:40:00,,,,12863.5,12863.75,12861.75,12862.5,104,True,1.0,,,200,0.995116649353804,0.42271729444305983,0.5723993549107441,58.86541340335111,0,0
201,2023-03-23 23:42:00,,,,12862.75,12862.75,12861.25,12861.75,76,True,1.0,,,201,0.9956646028240357,0.33861219833063316,0.6570524044934025,56.13162635119699,0,0
202,2023-03-23 23:44:00,,,,12861.75,12862.25,12858.75,12861.25,134,True,1.0,,,202,0.9448612660526123,0.2302470892473678,0.7146141768052445,54.32044786753639,0,0
