,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,slopes10,vol_gt2,macd_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,date,uptrend,dates1,min_Close,max_Close,Buy_n,Buy_loss_limit,Sell_n,Sell_loss_limit,Sell_n_f,Buy_n_f,BS_list,a,as1,chk_repeat,Buy,Sell,Buy_zero,Buy_count_tmp,Buy_count,Sell_zero,Sell_count_tmp,Sell_count
43,2022-11-05 00:43:00,10768.75,10778.75,10767.0,10778.25,603517.6285714286,12.044575482503205,-0.6180358684890432,12.662611350992249,58.74046337741409,0,0,50.99889553241629,y,y,n,y,n,y,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
44,2022-11-05 00:44:00,10777.5,10789.25,10777.5,10789.0,604356.6363636364,12.71984691382022,0.045788450262376656,12.674058463557843,62.41315122731928,0,0,55.93228214588705,y,y,y,n,y,n,2022-11-05 00:44:00,True,2022-11-05T00:31:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
45,2022-11-05 00:45:00,10786.5,10786.5,10765.0,10765.0,605637.552631579,11.189420292614159,-1.1877105367549472,12.377130829369106,51.41046631702647,0,0,8.190861376463381,y,y,n,y,n,y,,False,,,10765.0,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
46,2022-11-05 00:46:00,10764.25,10766.75,10748.75,10761.25,607769.6111111111,9.563708036197568,-2.2507382345372307,11.814446270734798,49.929369804362985,0,0,-53.715781278434896,y,y,n,y,n,y,2022-11-05 00:46:00,False,2022-11-05T00:44:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
47,2022-11-05 00:47:00,10761.25,10761.25,10747.75,10752.5,609118.6388888889,7.483008028622862,-3.4651505936895486,10.94815862231241,46.55885979646517,0,0,-64.0466242976358,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
48,2022-11-05 00:48:00,10752.5,10753.75,10742.0,10743.75,610163.5714285715,5.069547817232888,-4.702888644063618,9.772436461296506,43.40349943136451,0,0,-72.10492475858311,y,y,n,y,n,y,2022-11-05 00:48:00,False,2022-11-05T00:46:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
49,2022-11-05 00:49:00,10742.75,10745.5,10728.5,10729.5,611568.7777777778,1.9841354257769126,-6.230640828415675,8.214776254192588,38.792587066155214,0,0,-76.68621918355923,n,y,n,y,n,y,2022-11-05 00:49:00,False,2022-11-05T00:48:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
50,2022-11-05 00:50:00,10729.5,10731.0,10718.0,10718.0,613285.0,-1.3732006122663734,-7.670381493167168,6.297180880900795,35.51370522256987,0,0,-81.07777036346866,n,y,n,y,n,y,2022-11-05 00:50:00,False,2022-11-05T00:49:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
51,2022-11-05 00:51:00,10715.75,10722.5,10711.25,10717.75,615094.6,-4.00788610518066,-8.244053588865164,4.236167483684504,35.443569169212566,0,0,-82.48488715884653,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
52,2022-11-05 00:52:00,10718.25,10736.5,10718.25,10736.5,616276.8611111111,-4.530697974500072,-7.013492366547661,2.482794392047589,44.3244457437396,0,0,-82.25695834370273,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
53,2022-11-05 00:53:00,10736.5,10736.5,10720.75,10720.75,617883.8378378379,-6.145086784084924,-6.90230494090601,0.7572181568210861,39.41892547886572,0,0,-81.82801477354307,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
54,2022-11-05 00:54:00,10717.5,10722.5,10715.75,10720.5,618881.2,-7.359834862430944,-6.493642415401624,-0.8661924470293199,39.344491740123146,0,0,-79.05846170844615,y,y,n,y,n,y,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
